Date,Tweet,Sentiment,Region
2024-06-24,I just got my new iPhone! It's best. #SwitchToiPhone,Positive,Pune
2024-01-08,I just got my new iPhone! It's love. #iPhone15,Positive,Chennai
2023-01-20,iPhone now iOS in India. #iPhoneCamera,Neutral,Hyderabad
2024-02-20,iPhone now available in India. #iPhoneCamera,Neutral,Chennai
2023-05-02,iPhone now available in India. #iPhoneIndia,Neutral,Bangalore
2024-11-06,iPhone now available in India. #SwitchToiPhone,Neutral,Ahmedabad
2024-09-22,My iPhone has issue. Disappointed. #iPhone15,Negative,Mumbai
2023-03-18,I just got my new iPhone! It's beautiful. #iPhoneCamera,Positive,Chennai
2024-10-13,iPhone now available in India. #iPhoneLover,Neutral,Ahmedabad
2024-02-19,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Ahmedabad
2023-05-03,My iPhone has expensive. Disappointed. #iPhoneCamera,Negative,Bangalore
2023-02-08,I just got my new iPhone! It's best. #AppleEvent,Positive,Kolkata
2024-06-26,I just got my new iPhone! It's amazing. #iPhone15,Positive,Chennai
2023-02-20,My iPhone has not worth. Disappointed. #iPhoneLover,Negative,Bangalore
2023-04-22,My iPhone has expensive. Disappointed. #iPhone15,Negative,Kolkata
2023-08-28,iPhone now iOS in India. #SwitchToiPhone,Neutral,Kolkata
2023-12-20,My iPhone has issue. Disappointed. #iPhone15,Negative,Bangalore
2023-12-02,I just got my new iPhone! It's love. #iPhoneCamera,Positive,Chennai
2023-04-17,I just got my new iPhone! It's amazing. #iPhoneCamera,Positive,Ahmedabad
2024-04-19,I just got my new iPhone! It's best. #iPhoneLover,Positive,Kolkata
2024-02-09,iPhone now available in India. #iPhoneCamera,Neutral,Bangalore
2023-10-10,iPhone now new in India. #iPhone15,Neutral,Chennai
2024-12-22,My iPhone has lag. Disappointed. #iPhoneCamera,Negative,Ahmedabad
2024-01-11,iPhone now updated in India. #iPhoneIndia,Neutral,Mumbai
2023-02-14,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Delhi
2023-12-31,I just got my new iPhone! It's love. #AppleEvent,Positive,Pune
2024-08-24,iPhone now Apple in India. #AppleEvent,Neutral,Delhi
2024-10-02,I just got my new iPhone! It's amazing. #AppleEvent,Positive,Ahmedabad
2023-04-08,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Pune
2023-02-11,I just got my new iPhone! It's premium. #iPhoneCamera,Positive,Delhi
2023-07-29,iPhone now available in India. #SwitchToiPhone,Neutral,Mumbai
2024-03-13,iPhone now Apple in India. #iPhoneLover,Neutral,Hyderabad
2023-06-11,iPhone now available in India. #SwitchToiPhone,Neutral,Delhi
2023-03-08,I just got my new iPhone! It's beautiful. #SwitchToiPhone,Positive,Kolkata
2024-08-31,iPhone now features in India. #AppleEvent,Neutral,Ahmedabad
2023-09-27,iPhone now Apple in India. #AppleEvent,Neutral,Ahmedabad
2024-03-28,iPhone now iOS in India. #iPhoneLover,Neutral,Kolkata
2023-11-20,iPhone now iOS in India. #SwitchToiPhone,Neutral,Delhi
2023-04-11,I just got my new iPhone! It's best. #AppleEvent,Positive,Chennai
2023-08-15,iPhone now iOS in India. #iPhoneLover,Neutral,Kolkata
2023-10-14,I just got my new iPhone! It's love. #iPhoneIndia,Positive,Hyderabad
2024-09-04,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Ahmedabad
2023-12-10,I just got my new iPhone! It's best. #iPhoneCamera,Positive,Kolkata
2024-03-24,I just got my new iPhone! It's love. #iPhoneIndia,Positive,Kolkata
2023-07-14,My iPhone has lag. Disappointed. #iPhoneIndia,Negative,Bangalore
2023-10-02,I just got my new iPhone! It's beautiful. #iPhoneCamera,Positive,Delhi
2024-03-16,My iPhone has expensive. Disappointed. #SwitchToiPhone,Negative,Hyderabad
2023-04-17,My iPhone has problem. Disappointed. #AppleEvent,Negative,Chennai
2023-07-17,I just got my new iPhone! It's beautiful. #iPhoneCamera,Positive,Ahmedabad
2023-05-14,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Bangalore
2023-07-20,I just got my new iPhone! It's love. #iPhoneLover,Positive,Kolkata
2024-12-14,My iPhone has issue. Disappointed. #iPhoneLover,Negative,Chennai
2024-11-20,My iPhone has lag. Disappointed. #AppleEvent,Negative,Ahmedabad
2023-11-23,I just got my new iPhone! It's top-notch. #iPhoneLover,Positive,Bangalore
2024-01-20,iPhone now available in India. #iPhoneLover,Neutral,Hyderabad
2024-05-28,I just got my new iPhone! It's top-notch. #iPhone15,Positive,Bangalore
2024-03-27,My iPhone has battery. Disappointed. #SwitchToiPhone,Negative,Delhi
2024-09-03,I just got my new iPhone! It's top-notch. #iPhone15,Positive,Mumbai
2023-02-11,My iPhone has not worth. Disappointed. #SwitchToiPhone,Negative,Chennai
2024-10-16,I just got my new iPhone! It's love. #SwitchToiPhone,Positive,Kolkata
2024-01-20,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Chennai
2024-02-14,iPhone now updated in India. #iPhoneCamera,Neutral,Delhi
2023-06-17,iPhone now iOS in India. #iPhone15,Neutral,Delhi
2023-11-16,iPhone now features in India. #iPhoneLover,Neutral,Delhi
2023-11-13,iPhone now Apple in India. #SwitchToiPhone,Neutral,Kolkata
2024-01-12,iPhone now updated in India. #iPhone15,Neutral,Mumbai
2023-07-10,My iPhone has lag. Disappointed. #iPhoneIndia,Negative,Mumbai
2024-12-14,iPhone now updated in India. #iPhoneCamera,Neutral,Hyderabad
2023-04-20,My iPhone has issue. Disappointed. #AppleEvent,Negative,Pune
2024-09-03,iPhone now new in India. #SwitchToiPhone,Neutral,Kolkata
2023-03-17,I just got my new iPhone! It's love. #iPhone15,Positive,Hyderabad
2023-05-12,I just got my new iPhone! It's amazing. #iPhone15,Positive,Delhi
2023-07-22,My iPhone has issue. Disappointed. #AppleEvent,Negative,Bangalore
2024-05-14,iPhone now new in India. #AppleEvent,Neutral,Pune
2024-01-11,I just got my new iPhone! It's premium. #iPhoneIndia,Positive,Mumbai
2024-03-06,My iPhone has issue. Disappointed. #iPhoneCamera,Negative,Pune
2023-06-09,My iPhone has problem. Disappointed. #iPhoneIndia,Negative,Chennai
2024-06-09,iPhone now features in India. #iPhoneIndia,Neutral,Bangalore
2024-08-20,I just got my new iPhone! It's beautiful. #AppleEvent,Positive,Pune
2024-07-02,iPhone now iOS in India. #iPhoneCamera,Neutral,Chennai
2023-11-03,I just got my new iPhone! It's best. #iPhoneCamera,Positive,Bangalore
2024-10-24,I just got my new iPhone! It's premium. #iPhoneIndia,Positive,Bangalore
2024-02-25,My iPhone has expensive. Disappointed. #iPhoneLover,Negative,Kolkata
2024-02-16,My iPhone has issue. Disappointed. #iPhone15,Negative,Delhi
2023-05-12,iPhone now updated in India. #iPhoneCamera,Neutral,Bangalore
2023-08-17,I just got my new iPhone! It's love. #AppleEvent,Positive,Ahmedabad
2024-07-28,My iPhone has expensive. Disappointed. #AppleEvent,Negative,Delhi
2023-12-04,My iPhone has lag. Disappointed. #SwitchToiPhone,Negative,Mumbai
2023-07-06,I just got my new iPhone! It's premium. #iPhone15,Positive,Hyderabad
2023-01-19,My iPhone has battery. Disappointed. #iPhoneCamera,Negative,Bangalore
2024-11-26,My iPhone has battery. Disappointed. #AppleEvent,Negative,Delhi
2024-10-09,I just got my new iPhone! It's beautiful. #iPhoneCamera,Positive,Hyderabad
2023-03-17,My iPhone has expensive. Disappointed. #iPhone15,Negative,Mumbai
2023-11-08,iPhone now updated in India. #iPhone15,Neutral,Bangalore
2023-07-31,I just got my new iPhone! It's love. #iPhone15,Positive,Pune
2023-07-16,I just got my new iPhone! It's top-notch. #iPhoneCamera,Positive,Hyderabad
2023-05-20,iPhone now available in India. #AppleEvent,Neutral,Hyderabad
2023-02-26,I just got my new iPhone! It's love. #iPhoneIndia,Positive,Kolkata
2023-06-02,I just got my new iPhone! It's love. #iPhoneLover,Positive,Hyderabad
2024-09-28,I just got my new iPhone! It's top-notch. #iPhoneLover,Positive,Ahmedabad
2024-03-13,I just got my new iPhone! It's top-notch. #AppleEvent,Positive,Chennai
2024-02-14,I just got my new iPhone! It's beautiful. #AppleEvent,Positive,Ahmedabad
2024-04-01,My iPhone has expensive. Disappointed. #iPhoneIndia,Negative,Chennai
2024-03-30,My iPhone has lag. Disappointed. #AppleEvent,Negative,Mumbai
2023-08-19,I just got my new iPhone! It's best. #AppleEvent,Positive,Bangalore
2024-03-10,iPhone now new in India. #iPhoneCamera,Neutral,Pune
2024-08-08,My iPhone has not worth. Disappointed. #iPhone15,Negative,Mumbai
2024-12-29,My iPhone has expensive. Disappointed. #iPhoneLover,Negative,Hyderabad
2024-10-15,My iPhone has battery. Disappointed. #iPhoneCamera,Negative,Delhi
2024-04-20,iPhone now new in India. #iPhoneCamera,Neutral,Hyderabad
2023-02-17,My iPhone has lag. Disappointed. #SwitchToiPhone,Negative,Ahmedabad
2023-10-26,My iPhone has issue. Disappointed. #iPhoneLover,Negative,Chennai
2023-01-26,I just got my new iPhone! It's love. #iPhoneIndia,Positive,Ahmedabad
2024-04-16,My iPhone has expensive. Disappointed. #iPhoneCamera,Negative,Hyderabad
2023-10-24,iPhone now updated in India. #SwitchToiPhone,Neutral,Chennai
2024-09-12,My iPhone has battery. Disappointed. #iPhoneCamera,Negative,Kolkata
2024-12-04,My iPhone has issue. Disappointed. #SwitchToiPhone,Negative,Delhi
2024-10-24,My iPhone has battery. Disappointed. #iPhoneLover,Negative,Pune
2023-01-18,iPhone now available in India. #iPhoneIndia,Neutral,Hyderabad
2023-03-16,iPhone now updated in India. #iPhone15,Neutral,Chennai
2024-01-10,I just got my new iPhone! It's best. #iPhoneIndia,Positive,Chennai
2023-08-31,My iPhone has lag. Disappointed. #AppleEvent,Negative,Pune
2023-11-19,I just got my new iPhone! It's amazing. #iPhoneCamera,Positive,Ahmedabad
2023-08-03,iPhone now iOS in India. #iPhoneIndia,Neutral,Mumbai
2024-03-16,iPhone now Apple in India. #iPhoneLover,Neutral,Hyderabad
2023-09-18,My iPhone has not worth. Disappointed. #iPhoneIndia,Negative,Hyderabad
2024-05-29,I just got my new iPhone! It's amazing. #iPhone15,Positive,Bangalore
2023-05-17,My iPhone has expensive. Disappointed. #iPhoneCamera,Negative,Hyderabad
2024-05-19,iPhone now Apple in India. #iPhoneIndia,Neutral,Chennai
2023-03-15,iPhone now features in India. #AppleEvent,Neutral,Delhi
2023-12-26,I just got my new iPhone! It's beautiful. #iPhoneCamera,Positive,Hyderabad
2024-05-01,iPhone now updated in India. #iPhone15,Neutral,Pune
2023-02-15,iPhone now new in India. #iPhone15,Neutral,Bangalore
2024-03-25,iPhone now Apple in India. #AppleEvent,Neutral,Bangalore
2023-02-07,iPhone now new in India. #iPhone15,Neutral,Delhi
2023-03-14,I just got my new iPhone! It's premium. #iPhoneIndia,Positive,Pune
2023-02-03,My iPhone has battery. Disappointed. #iPhoneCamera,Negative,Mumbai
2024-12-21,iPhone now iOS in India. #iPhoneCamera,Neutral,Delhi
2023-09-27,iPhone now updated in India. #iPhoneLover,Neutral,Delhi
2023-05-19,iPhone now available in India. #iPhone15,Neutral,Chennai
2024-05-21,I just got my new iPhone! It's premium. #iPhoneCamera,Positive,Bangalore
2023-07-12,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Ahmedabad
2023-10-10,I just got my new iPhone! It's premium. #iPhoneIndia,Positive,Ahmedabad
2023-10-07,My iPhone has lag. Disappointed. #iPhone15,Negative,Bangalore
2023-02-07,I just got my new iPhone! It's top-notch. #iPhoneCamera,Positive,Delhi
2023-05-17,iPhone now available in India. #iPhoneLover,Neutral,Ahmedabad
2023-04-09,I just got my new iPhone! It's love. #iPhoneLover,Positive,Pune
2023-07-05,I just got my new iPhone! It's top-notch. #iPhoneIndia,Positive,Ahmedabad
2024-11-27,My iPhone has battery. Disappointed. #AppleEvent,Negative,Hyderabad
2024-03-23,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Chennai
2024-11-15,iPhone now available in India. #iPhoneLover,Neutral,Kolkata
2024-11-14,My iPhone has expensive. Disappointed. #SwitchToiPhone,Negative,Chennai
2023-03-05,I just got my new iPhone! It's top-notch. #iPhoneLover,Positive,Delhi
2023-02-04,My iPhone has battery. Disappointed. #iPhoneIndia,Negative,Bangalore
2024-12-03,I just got my new iPhone! It's beautiful. #iPhone15,Positive,Delhi
2024-03-04,I just got my new iPhone! It's best. #iPhoneIndia,Positive,Bangalore
2023-08-09,I just got my new iPhone! It's beautiful. #iPhone15,Positive,Kolkata
2023-08-21,I just got my new iPhone! It's amazing. #iPhoneCamera,Positive,Mumbai
2024-12-13,My iPhone has not worth. Disappointed. #iPhoneLover,Negative,Ahmedabad
2024-07-21,iPhone now features in India. #iPhoneCamera,Neutral,Chennai
2024-07-08,I just got my new iPhone! It's premium. #iPhoneLover,Positive,Mumbai
2023-11-26,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Chennai
2023-08-22,I just got my new iPhone! It's amazing. #AppleEvent,Positive,Bangalore
2024-07-29,My iPhone has battery. Disappointed. #iPhoneLover,Negative,Pune
2024-05-27,I just got my new iPhone! It's best. #iPhoneLover,Positive,Bangalore
2023-08-03,I just got my new iPhone! It's beautiful. #iPhoneIndia,Positive,Ahmedabad
2024-01-21,iPhone now features in India. #AppleEvent,Neutral,Bangalore
2023-10-08,iPhone now iOS in India. #AppleEvent,Neutral,Kolkata
2023-11-08,iPhone now iOS in India. #SwitchToiPhone,Neutral,Ahmedabad
2024-10-03,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Delhi
2024-11-23,iPhone now updated in India. #iPhoneIndia,Neutral,Pune
2023-03-02,My iPhone has lag. Disappointed. #iPhoneCamera,Negative,Delhi
2023-09-30,My iPhone has battery. Disappointed. #iPhoneIndia,Negative,Bangalore
2023-11-15,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Kolkata
2023-04-08,iPhone now updated in India. #iPhoneLover,Neutral,Bangalore
2024-06-28,I just got my new iPhone! It's premium. #SwitchToiPhone,Positive,Ahmedabad
2023-09-08,iPhone now updated in India. #iPhone15,Neutral,Kolkata
2023-12-19,My iPhone has battery. Disappointed. #AppleEvent,Negative,Bangalore
2023-02-08,I just got my new iPhone! It's top-notch. #AppleEvent,Positive,Kolkata
2023-12-26,My iPhone has lag. Disappointed. #iPhone15,Negative,Mumbai
2023-10-27,My iPhone has battery. Disappointed. #SwitchToiPhone,Negative,Chennai
2023-03-16,iPhone now iOS in India. #iPhoneIndia,Neutral,Mumbai
2024-10-28,I just got my new iPhone! It's beautiful. #iPhoneIndia,Positive,Pune
2024-05-20,iPhone now new in India. #iPhoneIndia,Neutral,Bangalore
2023-01-02,iPhone now features in India. #iPhoneIndia,Neutral,Ahmedabad
2023-02-17,iPhone now new in India. #iPhoneLover,Neutral,Mumbai
2024-12-20,iPhone now Apple in India. #iPhoneCamera,Neutral,Delhi
2024-11-09,I just got my new iPhone! It's best. #iPhoneIndia,Positive,Hyderabad
2024-09-25,My iPhone has lag. Disappointed. #AppleEvent,Negative,Delhi
2024-04-17,My iPhone has lag. Disappointed. #AppleEvent,Negative,Bangalore
2024-01-27,My iPhone has expensive. Disappointed. #SwitchToiPhone,Negative,Kolkata
2024-06-30,I just got my new iPhone! It's premium. #AppleEvent,Positive,Chennai
2024-12-27,iPhone now new in India. #iPhone15,Neutral,Pune
2024-03-11,I just got my new iPhone! It's amazing. #iPhoneIndia,Positive,Delhi
2023-06-09,I just got my new iPhone! It's beautiful. #AppleEvent,Positive,Chennai
2024-04-12,iPhone now new in India. #iPhoneLover,Neutral,Bangalore
2024-07-12,I just got my new iPhone! It's amazing. #SwitchToiPhone,Positive,Delhi
2023-08-22,iPhone now updated in India. #iPhoneIndia,Neutral,Pune
2024-02-07,My iPhone has problem. Disappointed. #iPhoneCamera,Negative,Mumbai
2024-12-18,I just got my new iPhone! It's premium. #iPhoneLover,Positive,Delhi
